Exercise Name;Crossfit Session Name;Type of Activity;Type of Equipment;Body Part;Type;Muscle Groups Activated;Instructions
Legless Rope Climb;Aerobic Body Building;Warm-up;Kettlebell;Lower body;Hold;Upper Chest, Shoulders;Maintain a strong core throughout the exercise for better stability.
Double KB Deadlift;Crossfit;Mobility;Bodyweight;Lower body;Pull;Hamstrings, Glutes;Perform the movement with a full range of motion while maintaining proper posture.
Hang Power Clean;Strength;Warm-up;Medicine Ball;Lower body;Stretch;Core, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Handstand Hold;Olympic Weightlifting;Cardio;Resistance Band;Lower body;Stretch;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Weighted Vest Burpees;Conditioning;Cardio;Resistance Band;Upper body;Push;Glutes, Hamstrings;Keep your back straight and hinge at the hips for proper form.
Box Handstand Push-Up;Gymnastics;Warm-up;Resistance Band;Full body;Push;Shoulders, Triceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Bodyweight Squat Hold;Strength;Strength;Kettlebell;Upper body;Push;Quads, Glutes;Warm-up adequately before performing this exercise to prevent injury.
Plank to Push-up;Olympic Weightlifting;Warm-up;Bodyweight;Lower body;Push;Hamstrings, Glutes;Stretch before and after this exercise for better mobility and recovery.
Front Squat;Gymnastics;Strength;Medicine Ball;Core;Hold;Glutes, Hamstrings;Stretch before and after this exercise for better mobility and recovery.
Lateral Box Jumps;Olympic Weightlifting;Mobility;Medicine Ball;Core;Pull;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Behind the Neck Press;Strength;Cardio;Barbell;Full body;Push;Chest, Triceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Plank Hold;Crossfit;Mobility;Medicine Ball;Upper body;Stretch;Biceps, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Chest to Bar Pull-Ups;Olympic Weightlifting;Mobility;Pull-up Bar;Core;Stretch;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Broad Jump Burpees;Conditioning;Strength;Pull-up Bar;Full body;Stretch;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Inverted Row;Crossfit;Mobility;Pull-up Bar;Upper body;Push;Lower Back, Core;Make sure to use explosive power when needed, especially for dynamic exercises.
Rope Climbs with Holds;Crossfit;Warm-up;Dumbbells;Lower body;Stretch;Quads, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Lying Leg Raise;Crossfit;Cardio;Resistance Band;Lower body;Push;Glutes, Hamstrings;Warm-up adequately before performing this exercise to prevent injury.
Wall Ball Sit-Ups;Gymnastics;Cardio;Pull-up Bar;Core;Pull;Quads, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Step-Ups;Strength;Mobility;Kettlebell;Core;Pull;Glutes, Hamstrings;Stretch before and after this exercise for better mobility and recovery.
Bar Muscle-Ups;Olympic Weightlifting;Strength;Bodyweight;Core;Stretch;Biceps, Shoulders;Keep your back straight and hinge at the hips for proper form.
Box Step-Overs;Aerobic Body Building;Strength;Medicine Ball;Upper body;Push;Biceps, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Dumbbell Overhead Press;Crossfit;Warm-up;Pull-up Bar;Upper body;Pull;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Sled Pull;Strength;Strength;Dumbbells;Core;Pull;Chest, Triceps;Keep your back straight and hinge at the hips for proper form.
Side Plank Hold;Olympic Weightlifting;Warm-up;Pull-up Bar;Core;Push;Core, Shoulders;Maintain a strong core throughout the exercise for better stability.
Turkish Get-Up;Strength;Warm-up;Resistance Band;Upper body;Pull;Hamstrings, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Reverse Lunges;Gymnastics;Mobility;Pull-up Bar;Full body;Pull;Biceps, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Ring Dips;Aerobic Body Building;Strength;Kettlebell;Core;Stretch;Lower Back, Core;Stretch before and after this exercise for better mobility and recovery.
Pistol Hold;Crossfit;Cardio;Bodyweight;Core;Push;Chest, Triceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Cleans;Strength;Cardio;Resistance Band;Lower body;Hold;Chest, Triceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Jerk Balance;Olympic Weightlifting;Mobility;Kettlebell;Upper body;Pull;Core, Shoulders;Keep your back straight and hinge at the hips for proper form.
Sandbag Carry;Crossfit;Warm-up;Pull-up Bar;Lower body;Pull;Shoulders, Triceps;Start with a lighter weight or progression if you're new to this exercise.
Ring Dips;Aerobic Body Building;Cardio;Dumbbells;Upper body;Stretch;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Alternating Dumbbell Snatch;Aerobic Body Building;Mobility;Medicine Ball;Core;Stretch;Shoulders, Triceps;Stretch before and after this exercise for better mobility and recovery.
Single Arm Kettlebell Press;Gymnastics;Warm-up;Medicine Ball;Core;Push;Lower Back, Core;Keep your back straight and hinge at the hips for proper form.
Single Arm Kettlebell Press;Aerobic Body Building;Mobility;Barbell;Upper body;Push;Quads, Glutes;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Deficit Deadlift;Olympic Weightlifting;Cardio;Barbell;Lower body;Push;Lats, Biceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Plank Hold;Strength;Cardio;Bodyweight;Upper body;Pull;Hamstrings, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Rower Sprints;Conditioning;Cardio;Pull-up Bar;Core;Push;Lower Back, Core;Make sure to use explosive power when needed, especially for dynamic exercises.
Ski Erg Sprints;Conditioning;Warm-up;Pull-up Bar;Upper body;Hold;Upper Chest, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Broad Jumps;Conditioning;Warm-up;Barbell;Upper body;Hold;Quads, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Single Arm Overhead Walking Lunges;Strength;Mobility;Bodyweight;Full body;Stretch;Chest, Triceps;Maintain a strong core throughout the exercise for better stability.
Hang Power Snatch;Gymnastics;Strength;Kettlebell;Full body;Stretch;Lats, Biceps;Start with a lighter weight or progression if you're new to this exercise.
Lateral Lunges;Olympic Weightlifting;Cardio;Bodyweight;Core;Pull;Hamstrings, Glutes;Perform the movement with a full range of motion while maintaining proper posture.
Rower Sprints;Crossfit;Strength;Dumbbells;Full body;Pull;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Prowler Push;Olympic Weightlifting;Warm-up;Medicine Ball;Full body;Stretch;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Single Arm Ring Row;Strength;Strength;Dumbbells;Core;Pull;Upper Chest, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Alternating Dumbbell Snatch;Gymnastics;Mobility;Pull-up Bar;Upper body;Pull;Glutes, Hamstrings;Start with a lighter weight or progression if you're new to this exercise.
Russian Twists;Olympic Weightlifting;Strength;Resistance Band;Lower body;Pull;Shoulders, Triceps;Maintain a strong core throughout the exercise for better stability.
Broad Jump Burpees;Strength;Warm-up;Kettlebell;Upper body;Push;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Straight Leg Deadlift;Strength;Mobility;Pull-up Bar;Core;Hold;Shoulders, Triceps;Perform the movement with a full range of motion while maintaining proper posture.
Banded Squat Jumps;Conditioning;Strength;Medicine Ball;Upper body;Push;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Deficit Deadlift;Olympic Weightlifting;Cardio;Pull-up Bar;Full body;Pull;Core, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Bear Crawl;Crossfit;Strength;Barbell;Full body;Hold;Lower Back, Core;Ensure your breathing is controlled, exhaling during the exertion phase.
High Pull;Crossfit;Strength;Pull-up Bar;Upper body;Push;Lats, Biceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Weighted Sit-Ups;Crossfit;Strength;Resistance Band;Lower body;Push;Glutes, Hamstrings;Make sure to use explosive power when needed, especially for dynamic exercises.
Hang Cleans;Conditioning;Cardio;Kettlebell;Lower body;Push;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Kettlebell Clean;Gymnastics;Cardio;Resistance Band;Core;Stretch;Glutes, Hamstrings;Stretch before and after this exercise for better mobility and recovery.
Landmine Squats;Conditioning;Warm-up;Resistance Band;Lower body;Push;Lats, Biceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Rope Climbs with Legs;Olympic Weightlifting;Mobility;Pull-up Bar;Lower body;Stretch;Chest, Triceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Lateral Box Jumps;Crossfit;Cardio;Bodyweight;Lower body;Push;Lower Back, Core;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Turkish Sit-Up;Olympic Weightlifting;Warm-up;Pull-up Bar;Lower body;Push;Biceps, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Prowler Push;Crossfit;Mobility;Pull-up Bar;Upper body;Push;Upper Chest, Shoulders;Maintain a strong core throughout the exercise for better stability.
Axle Bar Deadlift;Strength;Strength;Bodyweight;Upper body;Pull;Quads, Glutes;Keep your back straight and hinge at the hips for proper form.
Man Makers;Aerobic Body Building;Cardio;Medicine Ball;Upper body;Stretch;Shoulders, Triceps;Perform the movement with a full range of motion while maintaining proper posture.
Ring Rows;Conditioning;Warm-up;Bodyweight;Full body;Push;Biceps, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Rowing;Crossfit;Cardio;Barbell;Full body;Stretch;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Pull-ups;Crossfit;Mobility;Resistance Band;Core;Pull;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Floor Press;Olympic Weightlifting;Warm-up;Barbell;Lower body;Push;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Strict L-Sit Pull-Ups;Conditioning;Cardio;Dumbbells;Lower body;Hold;Lower Back, Core;Stretch before and after this exercise for better mobility and recovery.
Thrusters;Strength;Cardio;Resistance Band;Upper body;Stretch;Shoulders, Triceps;Keep your back straight and hinge at the hips for proper form.
Scapular Push-Ups;Conditioning;Mobility;Kettlebell;Full body;Pull;Quads, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Weighted Step-Ups;Aerobic Body Building;Mobility;Kettlebell;Lower body;Stretch;Chest, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Banded Squat Jumps;Gymnastics;Mobility;Barbell;Lower body;Hold;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Seated Kettlebell Press;Aerobic Body Building;Warm-up;Pull-up Bar;Lower body;Pull;Hamstrings, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Weighted Pull-Up;Gymnastics;Warm-up;Dumbbells;Core;Hold;Glutes, Hamstrings;Warm-up adequately before performing this exercise to prevent injury.
Rope Climbs with Legs;Aerobic Body Building;Mobility;Kettlebell;Full body;Hold;Glutes, Hamstrings;Keep your back straight and hinge at the hips for proper form.
Overhead Lunges;Aerobic Body Building;Strength;Kettlebell;Upper body;Hold;Shoulders, Triceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Hang Power Clean;Aerobic Body Building;Warm-up;Pull-up Bar;Upper body;Stretch;Hamstrings, Glutes;Stretch before and after this exercise for better mobility and recovery.
Box Thrusters;Olympic Weightlifting;Cardio;Kettlebell;Full body;Hold;Hamstrings, Glutes;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Alternating Dumbbell Snatch;Strength;Cardio;Bodyweight;Core;Stretch;Glutes, Hamstrings;Warm-up adequately before performing this exercise to prevent injury.
Double KB Deadlift;Aerobic Body Building;Warm-up;Kettlebell;Full body;Pull;Core, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Bear Crawl;Conditioning;Strength;Pull-up Bar;Core;Push;Lats, Biceps;Maintain a strong core throughout the exercise for better stability.
Box Handstand Push-Up;Olympic Weightlifting;Strength;Barbell;Full body;Stretch;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Front Squat;Conditioning;Cardio;Kettlebell;Core;Hold;Biceps, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Plank Hold;Conditioning;Strength;Kettlebell;Upper body;Hold;Shoulders, Triceps;Start with a lighter weight or progression if you're new to this exercise.
V-Bar Pull-Ups;Crossfit;Cardio;Pull-up Bar;Core;Hold;Shoulders, Triceps;Perform the movement with a full range of motion while maintaining proper posture.
Dumbbell Bench Press;Crossfit;Strength;Bodyweight;Full body;Hold;Chest, Triceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Hollow Rock;Crossfit;Strength;Pull-up Bar;Core;Hold;Quads, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Strict Handstand Push-Up;Strength;Cardio;Medicine Ball;Core;Stretch;Upper Chest, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Kettlebell Figure 8;Olympic Weightlifting;Mobility;Bodyweight;Core;Pull;Quads, Glutes;Warm-up adequately before performing this exercise to prevent injury.
Sumo Deadlift;Conditioning;Mobility;Pull-up Bar;Lower body;Push;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Dragon Flags;Crossfit;Mobility;Kettlebell;Core;Stretch;Upper Chest, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Inverted Shoulder Press;Strength;Strength;Medicine Ball;Upper body;Pull;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Superman Hold;Crossfit;Cardio;Bodyweight;Full body;Stretch;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Broad Jump Burpees;Conditioning;Strength;Resistance Band;Full body;Hold;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Weighted Wall Balls;Gymnastics;Mobility;Dumbbells;Core;Push;Lats, Biceps;Start with a lighter weight or progression if you're new to this exercise.
Strict Press;Olympic Weightlifting;Mobility;Kettlebell;Upper body;Hold;Hamstrings, Glutes;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Scapular Pull-Up;Strength;Warm-up;Medicine Ball;Full body;Stretch;Quads, Glutes;Maintain a strong core throughout the exercise for better stability.
High Pull;Gymnastics;Cardio;Bodyweight;Lower body;Pull;Hamstrings, Glutes;Start with a lighter weight or progression if you're new to this exercise.
Hang Power Clean;Gymnastics;Warm-up;Barbell;Lower body;Push;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Explosive Push-Ups;Gymnastics;Warm-up;Kettlebell;Core;Hold;Hamstrings, Glutes;Keep your back straight and hinge at the hips for proper form.
Burpee Box Jumps;Crossfit;Warm-up;Kettlebell;Core;Push;Upper Chest, Shoulders;Keep your back straight and hinge at the hips for proper form.
Single Arm Kettlebell Swings;Conditioning;Cardio;Pull-up Bar;Lower body;Hold;Lower Back, Core;Start with a lighter weight or progression if you're new to this exercise.
L-Sit Hold;Crossfit;Cardio;Medicine Ball;Upper body;Hold;Quads, Glutes;Warm-up adequately before performing this exercise to prevent injury.
Prowler Push;Crossfit;Warm-up;Dumbbells;Full body;Pull;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Push Press;Olympic Weightlifting;Warm-up;Resistance Band;Full body;Push;Lats, Biceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Decline Push-Ups;Conditioning;Strength;Dumbbells;Full body;Push;Quads, Glutes;Perform the movement with a full range of motion while maintaining proper posture.
Flutter Kicks;Gymnastics;Warm-up;Dumbbells;Upper body;Hold;Core, Shoulders;Keep your back straight and hinge at the hips for proper form.
Box Thrusters;Gymnastics;Cardio;Kettlebell;Full body;Push;Upper Chest, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
One Arm Overhead Squat;Aerobic Body Building;Cardio;Resistance Band;Lower body;Hold;Upper Chest, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Flutter Kicks;Olympic Weightlifting;Mobility;Dumbbells;Full body;Pull;Hamstrings, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Lateral Kettlebell Swing;Strength;Cardio;Barbell;Core;Stretch;Hamstrings, Glutes;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Jump Rope;Aerobic Body Building;Strength;Medicine Ball;Lower body;Push;Lower Back, Core;Start with a lighter weight or progression if you're new to this exercise.
Decline Push-Ups;Olympic Weightlifting;Strength;Kettlebell;Core;Push;Chest, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Landmine Squats;Gymnastics;Cardio;Medicine Ball;Core;Pull;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Lunges;Gymnastics;Cardio;Medicine Ball;Lower body;Hold;Lats, Biceps;Stretch before and after this exercise for better mobility and recovery.
GHD Sit-ups;Aerobic Body Building;Mobility;Pull-up Bar;Lower body;Push;Core, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Rope Slams;Conditioning;Warm-up;Pull-up Bar;Upper body;Hold;Glutes, Hamstrings;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Landmine Squats;Conditioning;Strength;Resistance Band;Full body;Stretch;Quads, Glutes;Ensure your breathing is controlled, exhaling during the exertion phase.
Incline Push-Ups;Olympic Weightlifting;Mobility;Dumbbells;Core;Stretch;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Rope Climbs with Legs;Strength;Strength;Bodyweight;Full body;Push;Lats, Biceps;Maintain a strong core throughout the exercise for better stability.
Superman Hold;Crossfit;Warm-up;Resistance Band;Core;Push;Hamstrings, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Worm Pull;Strength;Strength;Bodyweight;Core;Stretch;Upper Chest, Shoulders;Maintain a strong core throughout the exercise for better stability.
Rope Climbs with Legs;Olympic Weightlifting;Mobility;Barbell;Core;Hold;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Banded Good Mornings;Strength;Cardio;Dumbbells;Lower body;Hold;Glutes, Hamstrings;Keep your back straight and hinge at the hips for proper form.
Split Snatch;Gymnastics;Cardio;Resistance Band;Core;Push;Quads, Glutes;Ensure your breathing is controlled, exhaling during the exertion phase.
Pistol Hold;Aerobic Body Building;Strength;Barbell;Lower body;Hold;Lats, Biceps;Warm-up adequately before performing this exercise to prevent injury.
Sled Push;Gymnastics;Strength;Dumbbells;Upper body;Hold;Quads, Glutes;Ensure your breathing is controlled, exhaling during the exertion phase.
Floor Press;Gymnastics;Strength;Bodyweight;Lower body;Pull;Chest, Triceps;Warm-up adequately before performing this exercise to prevent injury.
Cleans;Strength;Warm-up;Pull-up Bar;Lower body;Stretch;Shoulders, Triceps;Maintain a strong core throughout the exercise for better stability.
Step-Ups;Crossfit;Strength;Resistance Band;Full body;Push;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Box Thrusters;Strength;Mobility;Kettlebell;Full body;Pull;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Ring Muscle-Ups;Olympic Weightlifting;Cardio;Kettlebell;Upper body;Stretch;Upper Chest, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Barbell Lunges;Strength;Cardio;Barbell;Core;Pull;Glutes, Hamstrings;Start with a lighter weight or progression if you're new to this exercise.
Farmer Walk with Dumbbells;Strength;Cardio;Bodyweight;Core;Pull;Upper Chest, Shoulders;Maintain a strong core throughout the exercise for better stability.
Weighted Roll-Outs;Crossfit;Warm-up;Barbell;Full body;Stretch;Core, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Weighted Roll-Outs;Gymnastics;Cardio;Pull-up Bar;Upper body;Pull;Core, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Strict Press;Crossfit;Warm-up;Pull-up Bar;Core;Stretch;Shoulders, Triceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Dumbbell Snatch;Conditioning;Warm-up;Barbell;Core;Push;Biceps, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Bench Press;Gymnastics;Mobility;Kettlebell;Upper body;Push;Chest, Triceps;Start with a lighter weight or progression if you're new to this exercise.
Hollow Rock;Olympic Weightlifting;Warm-up;Bodyweight;Full body;Pull;Chest, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Kettlebell Windmill;Strength;Mobility;Kettlebell;Full body;Push;Shoulders, Triceps;Keep your back straight and hinge at the hips for proper form.
Straight Leg Deadlift;Gymnastics;Warm-up;Barbell;Lower body;Pull;Lats, Biceps;Keep your back straight and hinge at the hips for proper form.
Single Arm Snatch;Strength;Cardio;Pull-up Bar;Upper body;Hold;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Sandbag Carry;Olympic Weightlifting;Warm-up;Bodyweight;Lower body;Hold;Upper Chest, Shoulders;Maintain a strong core throughout the exercise for better stability.
Prowler Push;Gymnastics;Strength;Bodyweight;Full body;Push;Lower Back, Core;Stretch before and after this exercise for better mobility and recovery.
Broad Jump Burpees;Gymnastics;Mobility;Barbell;Upper body;Stretch;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Kettlebell Snatch;Aerobic Body Building;Cardio;Dumbbells;Full body;Stretch;Quads, Glutes;Maintain a strong core throughout the exercise for better stability.
Reverse Lunges;Strength;Strength;Bodyweight;Lower body;Pull;Core, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Push-Up Rows;Strength;Mobility;Kettlebell;Full body;Hold;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Rowing;Strength;Cardio;Dumbbells;Upper body;Stretch;Glutes, Hamstrings;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Ski Erg Sprints;Aerobic Body Building;Cardio;Medicine Ball;Upper body;Stretch;Core, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Behind the Neck Jerk;Crossfit;Mobility;Dumbbells;Full body;Stretch;Quads, Glutes;Perform the movement with a full range of motion while maintaining proper posture.
Reverse Lunges;Gymnastics;Mobility;Barbell;Upper body;Stretch;Shoulders, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Prowler Push/Pull;Olympic Weightlifting;Cardio;Bodyweight;Lower body;Stretch;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Pallof Press;Conditioning;Warm-up;Pull-up Bar;Upper body;Push;Lats, Biceps;Maintain a strong core throughout the exercise for better stability.
Plank;Olympic Weightlifting;Mobility;Dumbbells;Full body;Pull;Chest, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Push-Up Rows;Crossfit;Strength;Bodyweight;Core;Push;Lower Back, Core;Keep your back straight and hinge at the hips for proper form.
Goblet Squat;Olympic Weightlifting;Strength;Barbell;Core;Stretch;Chest, Triceps;Maintain a strong core throughout the exercise for better stability.
Single Arm Ring Row;Olympic Weightlifting;Strength;Medicine Ball;Upper body;Hold;Glutes, Hamstrings;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Dumbbell Power Clean;Gymnastics;Warm-up;Barbell;Full body;Stretch;Upper Chest, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Weighted Sit-Ups;Aerobic Body Building;Cardio;Bodyweight;Upper body;Pull;Glutes, Hamstrings;Ensure your breathing is controlled, exhaling during the exertion phase.
Double Unders;Aerobic Body Building;Warm-up;Resistance Band;Upper body;Pull;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Russian Kettlebell Swing;Conditioning;Mobility;Barbell;Full body;Pull;Lower Back, Core;Perform the movement with a full range of motion while maintaining proper posture.
Kettlebell Turkish Get-Up;Aerobic Body Building;Warm-up;Medicine Ball;Lower body;Stretch;Glutes, Hamstrings;Warm-up adequately before performing this exercise to prevent injury.
Hollow Rock;Aerobic Body Building;Mobility;Dumbbells;Upper body;Hold;Quads, Glutes;Warm-up adequately before performing this exercise to prevent injury.
Clean and Jerk;Olympic Weightlifting;Mobility;Medicine Ball;Upper body;Hold;Quads, Glutes;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Hang Cleans;Gymnastics;Mobility;Pull-up Bar;Full body;Hold;Upper Chest, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Rope Climbs with Holds;Strength;Cardio;Barbell;Upper body;Hold;Quads, Glutes;Perform the movement with a full range of motion while maintaining proper posture.
Push Press;Gymnastics;Warm-up;Barbell;Core;Stretch;Upper Chest, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Hollow Body Hold;Aerobic Body Building;Strength;Bodyweight;Upper body;Pull;Chest, Triceps;Warm-up adequately before performing this exercise to prevent injury.
Banded Good Mornings;Olympic Weightlifting;Warm-up;Barbell;Upper body;Push;Hamstrings, Glutes;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Inverted Shoulder Press;Gymnastics;Warm-up;Barbell;Full body;Push;Lower Back, Core;Make sure to use explosive power when needed, especially for dynamic exercises.
Side Plank Hold;Aerobic Body Building;Mobility;Bodyweight;Full body;Push;Quads, Glutes;Keep your back straight and hinge at the hips for proper form.
Deadstop Deadlifts;Aerobic Body Building;Warm-up;Medicine Ball;Full body;Push;Shoulders, Triceps;Warm-up adequately before performing this exercise to prevent injury.
One-Legged Deadlift;Conditioning;Strength;Barbell;Upper body;Stretch;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Axle Bar Deadlift;Crossfit;Strength;Medicine Ball;Core;Push;Biceps, Shoulders;Maintain a strong core throughout the exercise for better stability.
Bar Muscle-Ups;Strength;Mobility;Kettlebell;Full body;Stretch;Lower Back, Core;Stretch before and after this exercise for better mobility and recovery.
Goblet Squat;Olympic Weightlifting;Mobility;Medicine Ball;Upper body;Hold;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Pistol Hold;Gymnastics;Cardio;Medicine Ball;Lower body;Pull;Chest, Triceps;Keep your back straight and hinge at the hips for proper form.
Kettlebell Swings;Olympic Weightlifting;Mobility;Bodyweight;Core;Stretch;Upper Chest, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Behind the Neck Jerk;Strength;Cardio;Kettlebell;Core;Stretch;Biceps, Shoulders;Keep your back straight and hinge at the hips for proper form.
Bear Crawl;Crossfit;Strength;Kettlebell;Full body;Pull;Chest, Triceps;Maintain a strong core throughout the exercise for better stability.
Decline Push-Ups;Gymnastics;Mobility;Dumbbells;Full body;Stretch;Upper Chest, Shoulders;Stretch before and after this exercise for better mobility and recovery.
Overhead Lunges;Crossfit;Warm-up;Bodyweight;Core;Hold;Shoulders, Triceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Overhead Kettlebell Squats;Olympic Weightlifting;Cardio;Barbell;Lower body;Stretch;Lats, Biceps;Keep your back straight and hinge at the hips for proper form.
Jumping Lunges;Olympic Weightlifting;Warm-up;Medicine Ball;Core;Hold;Core, Shoulders;Ensure your breathing is controlled, exhaling during the exertion phase.
Bulgarian Split Squats;Conditioning;Warm-up;Medicine Ball;Lower body;Push;Hamstrings, Glutes;Stretch before and after this exercise for better mobility and recovery.
Wall Sits;Crossfit;Warm-up;Pull-up Bar;Lower body;Push;Biceps, Shoulders;Maintain a strong core throughout the exercise for better stability.
Renegade Rows;Conditioning;Warm-up;Bodyweight;Lower body;Stretch;Glutes, Hamstrings;Start with a lighter weight or progression if you're new to this exercise.
Double KB Deadlift;Conditioning;Cardio;Barbell;Lower body;Hold;Biceps, Shoulders;Start with a lighter weight or progression if you're new to this exercise.
Seated Kettlebell Press;Olympic Weightlifting;Cardio;Bodyweight;Upper body;Hold;Lats, Biceps;Perform the movement with a full range of motion while maintaining proper posture.
Sled Pull;Crossfit;Cardio;Barbell;Full body;Stretch;Quads, Glutes;Stretch before and after this exercise for better mobility and recovery.
Clapping Push-Ups;Gymnastics;Cardio;Resistance Band;Upper body;Stretch;Upper Chest, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
